Wahlkampfstudie_2013_B	de	Christlich_Demokratische_Union_Deutschlands	1	63	505	3909	101697,00000	508847,00000	15235832,00000	57609030,00000	0,66749	0,88328	0,83814		
Wahlkampfstudie_2013_B	de	Christlich-Soziale_Union_in_Bayern	1	48	505	2684	110836,00000	665256,00000	11795858,00000	35850060,00000	0,93962	1,85566	1,62887		
Wahlkampfstudie_2013_B	de	Sozialdemokratische_Partei_Deutschlands	1	64	737	5513	144835,00000	1014019,00000	26179679,00000	77656708,00000	0,55323	1,30577	1,11604		
Wahlkampfstudie_2013_B	de	Freie_Demokratische_Partei	1	48	568	2596	108390,00000	654296,00000	14058965,00000	31585795,00000	0,77097	2,07149	1,67092		
Wahlkampfstudie_2013_B	de	Die_Linke	1	46	633	2526	130178,00000	2343204,00000	16295234,00000	38552467,00000	0,79887	6,07796	4,50955		
Wahlkampfstudie_2013_B	de	Piratenpartei_Deutschland	1	34	403	1687	103311,00000	309933,00000	13121112,00000	17833800,00000	0,78736	1,73790	1,33499		
Wahlkampfstudie_2013_B	de	Nationaldemokratische_Partei_Deutschlands	1	37	397	1793	104629,00000	523200,00000	12326631,00000	28935686,00000	0,84880	1,80815	1,52156		
Wahlkampfstudie_2013_B	de	Freie_Wähler_(Bundesvereinigung)	1	2	99	15	15549,00000	0,00000	3755536,00000	78724,00000	0,41403	0,00000	0,40553		
Wahlkampfstudie_2013_B	de	Alternative_für_Deutschland	1	15	171	460	55657,00000	55657,00000	6248116,00000	9379155,00000	0,89078	0,59341	0,71231		
Wahlkampfstudie_2013_B	de	Marxistisch-Leninistische_Partei_Deutschlands	1	11	199	486	45531,00000	91062,00000	8612753,00000	7552581,00000	0,52865	1,20571	0,84497		
Wahlkampfstudie_2013_B	de	Bürgerbewegung_pro_Deutschland	1	1	88	95	28266,00000	0,00000	2769844,00000	2296993,00000	1,02049	0,00000	0,55786		
Wahlkampfstudie_2013_B	de	Die_Republikaner	1	19	367	1017	103505,00000	517525,00000	12866050,00000	14787049,00000	0,80448	3,49985	2,24579		
Wahlkampfstudie_2013_B	de	Ökologisch-Demokratische_Partei	1	7	343	395	88278,00000	176556,00000	11672736,00000	5732916,00000	0,75628	3,07969	1,52154		
Wahlkampfstudie_2013_B	de	Bürgerrechtsbewegung_Solidarität	1	2	47	102	11323,00000	11402,00000	2199519,00000	2621097,00000	0,51479	0,43501	0,47141		
Wahlkampfstudie_2013_B	de	Partei_für_Arbeit,_Rechtsstaat,_Tierschutz,_Elitenförderung_und_basisdemokratische_Initiative	1	6	163	153	56845,00000	218,00000	7263337,00000	3188194,00000	0,78263	0,00684	0,54598		
Wahlkampfstudie_2013_B	de	Partei_Mensch_Umwelt_Tierschutz	1	7	152	502	41087,00000	50,00000	6566223,00000	7646940,00000	0,62573	0,00065	0,28943		
Wahlkampfstudie_2013_B	de	Partei_der_Vernunft	1	14	153	471	37105,00000	148420,00000	4775098,00000	7217658,00000	0,77705	2,05635	1,54698		
Wahlkampfstudie_2013_B	de	Partei_für_Soziale_Gleichheit,_Sektion_der_Vierten_Internationale	1	2	34	61	6674,00000	81,00000	1240112,00000	1923616,00000	0,53818	0,00421	0,21351		
