22,be-x-old
2,ab
1,aa
3,af
4,ak
215,sq
5,als
6,am
8,ang
9,ar
7,an
10,arc
96,hy
195,roa-rup
12,as
13,ast
14,av
15,ay
16,az
26,bm
142,map-bms
17,ba
64,eu
18,bar
21,be
27,bn
24,bh
29,bpy
25,bi
168,no
31,bs
30,br
32,bug
23,bg
155,my
33,bxr
34,ca
38,ceb
20,bcl
39,ch
35,cbk-zam
37,ce
41,chr
173,ny
42,chy
263,zh
40,cho
49,cv
264,zh-classical
128,kw
43,co
44,cr
45,crh
92,hr
46,cs
51,da
166,nl
162,nds-nl
56,dz
36,cdo
145,mh
11,arz
59,eml
60,en
156,myv
63,et
57,ee
65,ext
71,fo
90,hif
70,fj
68,fi
73,frp
72,fr
74,fur
67,ff
79,gl
77,gan
112,ka
52,de
116,ki
80,glk
82,got
58,el
119,kl
81,gn
83,gu
94,ht
86,hak
85,ha
87,haw
88,he
97,hz
89,hi
91,ho
95,hu
106,is
105,io
101,ig
104,ilo
99,id
108,iu
103,ik
76,ga
107,it
109,ja
111,jv
114,kab
47,csb
257,xal
121,kn
123,kr
180,pam
113,kaa
124,ks
118,kk
120,km
198,rw
193,rn
127,kv
115,kg
122,ko
126,ku
117,kj
129,ky
131,lad
133,lbe
139,lo
130,la
141,lv
136,lij
135,li
138,ln
140,lt
110,jbo
137,lmo
161,nds
54,dsb
134,lg
132,lb
147,mk
144,mg
152,ms
148,ml
55,dv
153,mt
84,gv
146,mi
151,mr
157,mzn
265,zh-min-nan
143,mdf
150,mo
149,mn
154,mus
159,nah
158,na
172,nv
160,nap
164,new
163,ne
171,nrm
167,nn
170,nov
102,ii
100,ie
174,oc
48,cu
176,or
175,om
177,os
165,ng
183,pi
179,pag
181,pap
188,ps
182,pdc
66,fa
186,pms
184,pih
185,pl
187,pnt
189,pt
178,pa
190,qu
125,ksh
192,rmy
194,ro
191,rm
197,ru
200,sah
205,se
212,sm
19,bat-smg
206,sg
199,sa
201,sc
220,stq
203,sco
78,gd
216,sr
207,sh
213,sn
202,scn
224,szl
209,simple
204,sd
208,si
210,sk
211,sl
214,so
219,st
62,es
217,srn
221,su
223,sw
218,ss
222,sv
232,tl
242,ty
228,tg
225,ta
196,roa-tara
239,tt
226,te
227,tet
229,th
28,bo
230,ti
236,tpi
235,tokipona
234,to
238,ts
233,tn
240,tum
237,tr
231,tk
241,tw
243,udm
245,uk
93,hsb
246,ur
244,ug
247,uz
248,ve
249,vec
250,vi
252,vo
69,fiu-vro
253,wa
254,war
50,cy
251,vls
75,fy
255,wo
256,wuu
258,xh
259,yi
260,yo
266,zh-yue
53,diq
262,zea
261,za
267,zu
61,eo
98,ia
169,nomcom
